oyun_adi,etiketler,gelistirici,yayinci,yayin_tarihi,turkce_incelemeler,en_son_incelemeler,turkce_destegi,fiyat_dlc,fiyat2,ozellikler,kontrolcu_destegi,dil_sayisi,diller_detay,yas_siniri
Movavi Screen Recorder,"Yardımcı Uygulamalar, Video Prodüksiyonu, Ses Prodüksiyonu, Yazılım Eğitimleri, Eğitici, Web Yayıncılığı, Fotoğraf Düzenleme, Tasarım ve İllüstrasyon, Aile Dostu, Yazılım, Öğretici, FMV, Çok Oyunculu, Tek Oyunculu",Movavi Software,Movavi Software,5 Nis 2021,,,Arayuz,,$32.95 USD,,,Türkçe ve 13 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Brezilya Portekizcesi: Arayuz | Geleneksel Çince: Arayuz | Basitleştirilmiş Çince: Arayuz | Korece: Arayuz | Felemenkçe: Arayuz | Lehçe: Arayuz | Japonca: Arayuz | Rusça: Arayuz,
FPS Tactics,"Keşif, Taktiksel RYO, 3D Platform, Aksiyon GZS, Sürükleyici Simülasyon, Shoot 'Em Up, Hack and Slash, FPS, Kule Savunması, Platform, GZS, Stratejik RYO, Strateji, Aksiyon RYO, 3D, Birinci Şahıs, Askerî, Gizlilik, Soruşturma, Fizik Tabanlı",Hede,Hede,5 Nis 2021,,,Arayuz,,$1.86 USD,"Tek Oyunculu, Steam Başarımları, Aile Paylaşımı, Profil Özellikleri Sınırlı",,Türkçe ve 28 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Arapça: Arayuz | Bulgarca: Arayuz | Çekçe: Arayuz | Danca: Arayuz | Felemenkçe: Arayuz | Fince: Arayuz | Yunanca: Arayuz | Macarca: Arayuz | Japonca: Arayuz | Korece: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Portekizce - Portekiz: Arayuz | Brezilya Portekizcesi: Arayuz | Rumence: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Latin Amerika İspanyolcası: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz | Vietnamca: Arayuz,
Neon Dimension,"Basit Eğlence, Arcade, Sihir, Renkli, Fizik Tabanlı, Atmosferik, Idler, Sevimli, 2D, Uzay, Tek Oyunculu, Bağımsız, Taktiksel, Felsefi, Stilize, Gizem, Lineer",PHX games,PHX games,30 Mar 2021,,,Arayuz,,$6.99 USD,"Tek Oyunculu, Aile Paylaşımı, Profil Özellikleri Sınırlı",,Türkçe ve 27 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Arapça: Arayuz | Bulgarca: Arayuz | Brezilya Portekizcesi: Arayuz | Macarca: Arayuz | Vietnamca: Arayuz | Yunanca: Arayuz | Danca: Arayuz | Latin Amerika İspanyolcası: Arayuz | Geleneksel Çince: Arayuz | Basitleştirilmiş Çince: Arayuz | Korece: Arayuz | Felemenkçe: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Portekizce - Portekiz: Arayuz | Rumence: Arayuz | Rusça: Arayuz | Tayca: Arayuz | Ukraynaca: Arayuz | Fince: Arayuz | Çekçe: Arayuz | İsveççe: Arayuz | Japonca: Arayuz,
PuzzlePet - Feed your cat,"Kediler, Rahatlatıcı, Sevimli, Izgara Tabanlı Hareket, Minimalist, Bulmaca, Zor, Mantık, Tıklama, Collectathon, Point & Click, 2D, Basit Eğlence, Kaynak Yönetimi, Tek Oyunculu, Stilize, Bağımsız",Tribus Games Indie,Tribus Games Indie,26 Mar 2021,,,Arayuz,,$0.99 USD,"Tek Oyunculu, Steam Başarımları, Aile Paylaşımı, Profil Özellikleri Sınırlı",,Türkçe ve 28 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Bulgarca: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz | Korece: Arayuz | Danca: Arayuz | Latin Amerika İspanyolcası: Arayuz | Fince: Arayuz | Yunanca: Arayuz | Felemenkçe: Arayuz | Macarca: Arayuz | Japonca: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Portekizce - Portekiz: Arayuz | Brezilya Portekizcesi: Arayuz | Rumence: Arayuz | Rusça: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Çekçe: Arayuz | Ukraynaca: Arayuz | Vietnamca: Arayuz | Arapça: Arayuz,
Gravity run,"Aksiyon Roguelike, 3D Platform, Keşif, Koşu, Sürükleyici Simülasyon, Platform, Aksiyon RYO, Arcade, Aksiyon Macera, Rogue-like, 3D, Birinci Şahıs, Üçüncü Şahıs, Komik, Açık Dünya, Uzay, Aksiyon, Basit Eğlence, Doğa, Fizik Tabanlı",Hede,Hede,26 Mar 2021,,,Arayuz,,$1.86 USD,"Tek Oyunculu, Steam Başarımları, Steam Sıralama Listeleri, Aile Paylaşımı, Profil Özellikleri Sınırlı",,Türkçe ve 28 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Arapça: Arayuz | Bulgarca: Arayuz | Çekçe: Arayuz | Danca: Arayuz | Felemenkçe: Arayuz | Fince: Arayuz | Yunanca: Arayuz | Macarca: Arayuz | Japonca: Arayuz | Korece: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Portekizce - Portekiz: Arayuz | Brezilya Portekizcesi: Arayuz | Rumence: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Latin Amerika İspanyolcası: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz | Vietnamca: Arayuz,
Red Bow Soundtrack,"Bağımsız, Basit Eğlence, Macera",Stranga Games,GrabTheGames,23 Mar 2021,,,,,$0.99 USD,"Tek Oyunculu, Steam Başarımları",,,,15+
Freelancer Life Simulator,"Basit Eğlence, Simülasyon, Yönetim, Hack'leme, Eğitici, Yaşam Simülatörü, Programlama, Zaman Yönetimi, 3D, Birinci Şahıs, Gerçekçi, Mantık, Rahatlatıcı, Lineer Olmayan, Öğretici, Macera, Bağımsız, Tek Oyunculu, 6DOF",DiamosDev,DiamosDev,5 Mar 2021,,,"Arayuz, Altyazi",,$0.67 USD,"Tek Oyunculu, Steam Başarımları, Aile Paylaşımı, Profil Özellikleri Sınırlı",,Türkçe ve 8 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Portekizce - Portekiz: Arayuz, Altyazi | Rusça: Arayuz, Altyazi",
Gold  Challenge,"Aksiyon, Macera, Basit Eğlence, Simülasyon, Strateji, Animasyon ve Modelleme, Şehir Kurma, Point & Click, Bilgi Yarışması, GZS, Aksiyon GZS, Keşif, Sürükleyici Simülasyon, Tıp Simülatörü, Metroidvania, Siyaset Simülatörü, 2D, 3D, Anime, Renkli",Hede,Hede,4 Mar 2021,,,Arayuz,,$1.86 USD,"Tek Oyunculu, Steam Başarımları, Steam Sıralama Listeleri, Aile Paylaşımı, Profil Özellikleri Sınırlı",Tam kontrolcu destegi,Türkçe ve 27 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Bulgarca: Arayuz | Çekçe: Arayuz | Danca: Arayuz | Felemenkçe: Arayuz | Fince: Arayuz | Yunanca: Arayuz | Macarca: Arayuz | Japonca: Arayuz | Korece: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Portekizce - Portekiz: Arayuz | Brezilya Portekizcesi: Arayuz | Rumence: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Latin Amerika İspanyolcası: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz | Vietnamca: Arayuz,
Barro Racing - Rally,"Bağımsız, Basit Eğlence, Yarış, Araç Kullanma, PvP, Çok Oyunculu, Tek Oyunculu, Yerel Çok Oyunculu, Bölünmüş Ekran",SC Jogos,SC Jogos,4 Mar 2021,,,Arayuz,,$0.44 USD,"Tek Oyunculu, Ortak/Bölünmüş Ekran PvP, İndirilebilir İçerik, Steam Başarımları, Remote Play Together, Aile Paylaşımı",Kismi kontrolcu destegi,Türkçe ve 101 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Bulgarca: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz | Danca: Arayuz | Latin Amerika İspanyolcası: Arayuz | Fince: Arayuz | Yunanca: Arayuz | Felemenkçe: Arayuz | Macarca: Arayuz | Japonca: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Portekizce - Portekiz: Arayuz | Rumence: Arayuz | Rusça: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Çekçe: Arayuz | Ukraynaca: Arayuz | Vietnamca: Arayuz | Arapça: Arayuz | Afrikaanca (Güney Afrika dili): Arayuz | Arnavutça: Arayuz | Amharca: Arayuz | Ermenice: Arayuz | Assam Dili: Arayuz | Azerice: Arayuz | Baskça: Arayuz | Bangla: Arayuz | Belarusça: Arayuz | Boşnakça: Arayuz | Kannada dili: Arayuz | Katalanca: Arayuz | Kazakça: Arayuz | Çeroki Dili: Arayuz | Seylanca: Arayuz | Konkani dili: Arayuz | Hırvatça: Arayuz | Darice: Arayuz | Slovakça: Arayuz | Slovence: Arayuz | Estonca: Arayuz | Filipince: Arayuz | Galiçyaca: Arayuz | Galce: Arayuz | Gürcüce: Arayuz | Gucaratça: Arayuz | Hausaca: Arayuz | İbranice: Arayuz | Hintçe: Arayuz | İgbo dili: Arayuz | Endonezce: Arayuz | Yorubaca: Arayuz | İrlandaca: Arayuz | İzlandaca: Arayuz | Kmer dili: Arayuz | Letonca: Arayuz | Litvanyaca: Arayuz | Lüksemburgca: Arayuz | Makedonca: Arayuz | Malayalamca: Arayuz | Malayca: Arayuz | Maltaca: Arayuz | Maori Dili: Arayuz | Marati Dili: Arayuz | Moğolca: Arayuz | Nepalce: Arayuz | Oriya dili: Arayuz | Pencap dili: Arayuz | Pencap dili (Shahmukhi): Arayuz | Farsça: Arayuz | Kiçece: Arayuz | Ruandaca: Arayuz | Kırgızca: Arayuz | Keçuva dili: Arayuz | Sotho dili: Arayuz | Sindhî: Arayuz | Soranice: Arayuz | Svahili: Arayuz | Sırpça: Arayuz | Tacik Dili: Arayuz | Tigrinya dili: Arayuz | Tswana dili: Arayuz | Türkmence: Arayuz | Tatarca: Arayuz | Tamilce: Arayuz | Teluguca: Arayuz | Uygurca: Arayuz | Wolof dili: Arayuz | Urduca: Arayuz | Özbekçe: Arayuz | Valensiyaca: Arayuz | Xhosa dili: Arayuz | Zuluca: Arayuz | İskoçça: Arayuz,
Space Cube Tower Defense,"Aksiyon, Basit Eğlence, Simülasyon, Strateji, Şehir Kurma, GZS, 3D, Kule Savunması, 3D Dövüş, Büyük Strateji, Stratejik RYO, Aksiyon GZS, Renkli, İzometrik, Gerçekçi, Üstten Görünüş, Uçuş, Bilim Kurgu, Uzay, Taktiksel",Hede,Hede,1 Mar 2021,,,Arayuz,,$1.86 USD,"Tek Oyunculu, Steam Başarımları, Steam Sıralama Listeleri, Aile Paylaşımı, Profil Özellikleri Sınırlı",,Türkçe ve 27 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Bulgarca: Arayuz | Çekçe: Arayuz | Danca: Arayuz | Felemenkçe: Arayuz | Fince: Arayuz | Yunanca: Arayuz | Macarca: Arayuz | Japonca: Arayuz | Korece: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Portekizce - Portekiz: Arayuz | Brezilya Portekizcesi: Arayuz | Rumence: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Latin Amerika İspanyolcası: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz | Vietnamca: Arayuz,
Lumberjack's Dynasty - Digital Supporter Pack,"Simülasyon, Basit Eğlence, Açık Dünya, Üçüncü Şahıs, Gerçekçi, Tek Oyunculu, Aile Dostu, Sürükleyici Simülasyon, Otomobil Simülasyonu",UMEO Studios,Toplitz Productions,25 Şub 2021,,,"Arayuz, Altyazi",,$1.49 USD,"Tek Oyunculu, İndirilebilir İçerik, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 12 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Felemenkçe: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi",
Lumberjack's Dynasty,"Simülasyon, İnşa Etme, Üretim, Açık Dünya, Otomobil Simülasyonu, Araç Kullanma, Birinci Şahıs, Doğa, Tek Oyunculu, Gerçekçi, Rahatlatıcı, RYO, Keşif, Macera, Yaşam Simülatörü, Aile Dostu, Atmosferik, Basit Eğlence, Eşli",UMEO Studios,Toplitz Productions,30 Nis 2020,,,"Arayuz, Altyazi",-75%$5.99$1.49 USD,$1.49 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Aile Paylaşımı",Tam kontrolcu destegi,Türkçe ve 12 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Seslendirme, Altyazi | Almanca: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz, Altyazi | İtalyanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Felemenkçe: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi",
Barro Racing - Old Cars,"Bağımsız, Basit Eğlence, Yarış, Araç Kullanma, PvP, Çok Oyunculu, Tek Oyunculu, Yerel Çok Oyunculu, Bölünmüş Ekran",SC Jogos,SC Jogos,25 Şub 2021,,,Arayuz,,$0.44 USD,"Tek Oyunculu, Ortak/Bölünmüş Ekran PvP, İndirilebilir İçerik, Steam Başarımları, Remote Play Together, Aile Paylaşımı",Kismi kontrolcu destegi,Türkçe ve 101 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Bulgarca: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz | Danca: Arayuz | Latin Amerika İspanyolcası: Arayuz | Fince: Arayuz | Yunanca: Arayuz | Felemenkçe: Arayuz | Macarca: Arayuz | Japonca: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Portekizce - Portekiz: Arayuz | Rumence: Arayuz | Rusça: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Çekçe: Arayuz | Ukraynaca: Arayuz | Vietnamca: Arayuz | Arapça: Arayuz | Afrikaanca (Güney Afrika dili): Arayuz | Arnavutça: Arayuz | Amharca: Arayuz | Ermenice: Arayuz | Assam Dili: Arayuz | Azerice: Arayuz | Baskça: Arayuz | Bangla: Arayuz | Belarusça: Arayuz | Boşnakça: Arayuz | Kannada dili: Arayuz | Katalanca: Arayuz | Kazakça: Arayuz | Çeroki Dili: Arayuz | Seylanca: Arayuz | Konkani dili: Arayuz | Hırvatça: Arayuz | Darice: Arayuz | Slovakça: Arayuz | Slovence: Arayuz | Estonca: Arayuz | Filipince: Arayuz | Galiçyaca: Arayuz | Galce: Arayuz | Gürcüce: Arayuz | Gucaratça: Arayuz | Hausaca: Arayuz | İbranice: Arayuz | Hintçe: Arayuz | İgbo dili: Arayuz | Endonezce: Arayuz | Yorubaca: Arayuz | İrlandaca: Arayuz | İzlandaca: Arayuz | Kmer dili: Arayuz | Letonca: Arayuz | Litvanyaca: Arayuz | Lüksemburgca: Arayuz | Makedonca: Arayuz | Malayalamca: Arayuz | Malayca: Arayuz | Maltaca: Arayuz | Maori Dili: Arayuz | Marati Dili: Arayuz | Moğolca: Arayuz | Nepalce: Arayuz | Oriya dili: Arayuz | Pencap dili: Arayuz | Pencap dili (Shahmukhi): Arayuz | Farsça: Arayuz | Kiçece: Arayuz | Ruandaca: Arayuz | Kırgızca: Arayuz | Keçuva dili: Arayuz | Sotho dili: Arayuz | Sindhî: Arayuz | Soranice: Arayuz | Svahili: Arayuz | Sırpça: Arayuz | Tacik Dili: Arayuz | Tigrinya dili: Arayuz | Tswana dili: Arayuz | Türkmence: Arayuz | Tatarca: Arayuz | Tamilce: Arayuz | Teluguca: Arayuz | Uygurca: Arayuz | Wolof dili: Arayuz | Urduca: Arayuz | Özbekçe: Arayuz | Valensiyaca: Arayuz | Xhosa dili: Arayuz | Zuluca: Arayuz | İskoçça: Arayuz,
Snowboard,"Spor, Arena Nişancısı, Platform (Zorlu), On-Rails Shooter, Savaşlı Yarış, Uçuş, Gerçek Zamanlı Taktik, Beyzbol, Basketbol, Araç Kullanma, Çiftçilik Simülatörü, Arcade, Yaşam Simülatörü, 2D Dövüş, E-spor, 3D, Karakter Kişiselleştirme, Çizgi Roman, FMV, Üçüncü Şahıs",Hede,Hede,24 Şub 2021,,,Arayuz,,$4.64 USD,"Tek Oyunculu, Steam Başarımları, Steam Sıralama Listeleri, Aile Paylaşımı, Profil Özellikleri Sınırlı",,Türkçe ve 28 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Arapça: Arayuz | Bulgarca: Arayuz | Çekçe: Arayuz | Danca: Arayuz | Felemenkçe: Arayuz | Fince: Arayuz | Yunanca: Arayuz | Macarca: Arayuz | Japonca: Arayuz | Korece: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Portekizce - Portekiz: Arayuz | Brezilya Portekizcesi: Arayuz | Rumence: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Latin Amerika İspanyolcası: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz | Vietnamca: Arayuz,
Destroy It,"Aksiyon, Basit Eğlence, Simülasyon, Aksiyon RYO, Animasyon ve Modelleme, Kutu Oyunu, Koloni Simülatörü, 3D Platform, Aksiyon GZS, Mermi Cehennemi, Yaratık Toplama, Keşif, 3D Görünüm, Renkli, FMV, İzometrik, 1990'lar, Uzaylılar, Alternatif Tarih, ATV",Hede,Hede,23 Şub 2021,,,Arayuz,,$1.86 USD,"Tek Oyunculu, Steam Başarımları, Steam Sıralama Listeleri, Aile Paylaşımı, Profil Özellikleri Sınırlı",,Türkçe ve 27 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Bulgarca: Arayuz | Çekçe: Arayuz | Danca: Arayuz | Felemenkçe: Arayuz | Fince: Arayuz | Yunanca: Arayuz | Macarca: Arayuz | Japonca: Arayuz | Korece: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Portekizce - Portekiz: Arayuz | Brezilya Portekizcesi: Arayuz | Rumence: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Latin Amerika İspanyolcası: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz | Vietnamca: Arayuz,
High Smileson,"Basit Eğlence, Macera, Görsel Roman, Bulmaca, Keşif, Tıklama, Gizli Nesne, Yaratık Toplama, 2D, Çizgi Filmvari, Çizgi Film, Renkli, Psikedelik, Atmosferik, Mantık, Çizgi Roman, Zaman Yolculuğu, Rahatlatıcı, Komik, Gerçeküstü",Robohamster,Robohamster,18 Şub 2021,,,Arayuz,,$3.99 USD,"Tek Oyunculu, Aile Paylaşımı, Profil Özellikleri Sınırlı",,Türkçe ve 6 dil daha,"Türkçe: Arayuz | İngilizce: Arayuz, Seslendirme, Altyazi | Fransızca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Lehçe: Arayuz | Rusça: Arayuz",
Barro Racing - GT,"Bağımsız, Basit Eğlence, Yarış, Araç Kullanma, PvP, Çok Oyunculu, Tek Oyunculu, Yerel Çok Oyunculu, Bölünmüş Ekran",SC Jogos,SC Jogos,18 Şub 2021,,,Arayuz,,$0.44 USD,"Tek Oyunculu, Ortak/Bölünmüş Ekran PvP, İndirilebilir İçerik, Steam Başarımları, Remote Play Together, Aile Paylaşımı",Kismi kontrolcu destegi,Türkçe ve 101 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Bulgarca: Arayuz | Basitleştirilmiş Çince: Arayuz | Geleneksel Çince: Arayuz | Danca: Arayuz | Latin Amerika İspanyolcası: Arayuz | Fince: Arayuz | Yunanca: Arayuz | Felemenkçe: Arayuz | Macarca: Arayuz | Japonca: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Brezilya Portekizcesi: Arayuz | Portekizce - Portekiz: Arayuz | Rumence: Arayuz | Rusça: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Çekçe: Arayuz | Ukraynaca: Arayuz | Vietnamca: Arayuz | Arapça: Arayuz | Afrikaanca (Güney Afrika dili): Arayuz | Arnavutça: Arayuz | Amharca: Arayuz | Ermenice: Arayuz | Assam Dili: Arayuz | Azerice: Arayuz | Baskça: Arayuz | Bangla: Arayuz | Belarusça: Arayuz | Boşnakça: Arayuz | Kannada dili: Arayuz | Katalanca: Arayuz | Kazakça: Arayuz | Çeroki Dili: Arayuz | Seylanca: Arayuz | Konkani dili: Arayuz | Hırvatça: Arayuz | Darice: Arayuz | Slovakça: Arayuz | Slovence: Arayuz | Estonca: Arayuz | Filipince: Arayuz | Galiçyaca: Arayuz | Galce: Arayuz | Gürcüce: Arayuz | Gucaratça: Arayuz | Hausaca: Arayuz | İbranice: Arayuz | Hintçe: Arayuz | İgbo dili: Arayuz | Endonezce: Arayuz | Yorubaca: Arayuz | İrlandaca: Arayuz | İzlandaca: Arayuz | Kmer dili: Arayuz | Letonca: Arayuz | Litvanyaca: Arayuz | Lüksemburgca: Arayuz | Makedonca: Arayuz | Malayalamca: Arayuz | Malayca: Arayuz | Maltaca: Arayuz | Maori Dili: Arayuz | Marati Dili: Arayuz | Moğolca: Arayuz | Nepalce: Arayuz | Oriya dili: Arayuz | Pencap dili: Arayuz | Pencap dili (Shahmukhi): Arayuz | Farsça: Arayuz | Kiçece: Arayuz | Ruandaca: Arayuz | Kırgızca: Arayuz | Keçuva dili: Arayuz | Sotho dili: Arayuz | Sindhî: Arayuz | Soranice: Arayuz | Svahili: Arayuz | Sırpça: Arayuz | Tacik Dili: Arayuz | Tigrinya dili: Arayuz | Tswana dili: Arayuz | Türkmence: Arayuz | Tatarca: Arayuz | Tamilce: Arayuz | Teluguca: Arayuz | Uygurca: Arayuz | Wolof dili: Arayuz | Urduca: Arayuz | Özbekçe: Arayuz | Valensiyaca: Arayuz | Xhosa dili: Arayuz | Zuluca: Arayuz | İskoçça: Arayuz,
Mosaique Neko Waifus 4,"Hentai, Çıplaklık, Bulmaca, Cinsel İçerik, Basit Eğlence, Anime, RYO, Sevimli, 2D, Collectathon, Romantik, İlişki Simülatörü, İnteraktif Kurgu, Önemli Seçimler, Renkli, Elle Çizilmiş, Tek Oyunculu, Envanter Yönetimi, Kaynak Yönetimi, LGBTİ+",Lil Hentai Games,Lil Hentai Games,12 Şub 2021,,,"Arayuz, Altyazi",,$2.99 USD,"Tek Oyunculu, Steam Başarımları, Steam Koleksiyon Kartları, Steam Cloud, Aile Paylaşımı",,Türkçe ve 13 dil daha,"Türkçe: Arayuz, Altyazi | İngilizce: Arayuz, Altyazi | Fransızca: Arayuz, Altyazi | Almanca: Arayuz, Altyazi | Kastilya İspanyolcası: Arayuz, Altyazi | Japonca: Arayuz, Altyazi | Korece: Arayuz, Altyazi | Lehçe: Arayuz, Altyazi | Rusça: Arayuz, Altyazi | Basitleştirilmiş Çince: Arayuz, Altyazi | Tayca: Arayuz, Altyazi | Geleneksel Çince: Arayuz, Altyazi | Brezilya Portekizcesi: Arayuz, Altyazi | Macarca: Arayuz, Altyazi",
Click and Relax,"Keşif, 3D Platform, Tıklama, Mermi Cehennemi, Şehir Kurma, İnteraktif Kurgu, MOBA, Motosiklet ve bisiklet, BMX, 4X, Karakter Kişiselleştirme, Strateji, Soğuk Savaş, 360° Video, Sevimli, Asimetrik VR, Dinamik Anlatı, FMV, Tarım, Yapay Zekâ",Hede,Hede,11 Şub 2021,,,Arayuz,,$1.86 USD,"Tek Oyunculu, Steam Başarımları, Steam Sıralama Listeleri, Aile Paylaşımı, Profil Özellikleri Sınırlı",,Türkçe ve 28 dil daha,Türkçe: Arayuz | İngilizce: Arayuz | Fransızca: Arayuz | İtalyanca: Arayuz | Almanca: Arayuz | Kastilya İspanyolcası: Arayuz | Arapça: Arayuz | Bulgarca: Arayuz | Çekçe: Arayuz | Danca: Arayuz | Felemenkçe: Arayuz | Fince: Arayuz | Yunanca: Arayuz | Macarca: Arayuz | Japonca: Arayuz | Korece: Arayuz | Norveççe: Arayuz | Lehçe: Arayuz | Portekizce - Portekiz: Arayuz | Brezilya Portekizcesi: Arayuz | Rumence: Arayuz | Rusça: Arayuz | Basitleştirilmiş Çince: Arayuz | Latin Amerika İspanyolcası: Arayuz | İsveççe: Arayuz | Tayca: Arayuz | Geleneksel Çince: Arayuz | Ukraynaca: Arayuz | Vietnamca: Arayuz,
